datetime,J,J_sd,n_trees
2023-06-02T04:30:00Z,0.001937318598496984,0.0026339254817685375,17
2023-06-02T05:00:00Z,0.0021871763188517175,0.0030614590007165374,17
2023-06-02T05:30:00Z,0.0027299706768637204,0.0033884292297474286,17
2023-06-02T06:00:00Z,0.003499144076066493,0.003860548741773964,17
2023-06-02T06:30:00Z,0.004238920257550602,0.0047770851595746195,17
2023-06-02T07:00:00Z,0.00509541781743762,0.00561511278872213,17
2023-06-02T07:30:00Z,0.006252192678774681,0.00650396261193781,17
2023-06-02T08:00:00Z,0.007425492895273708,0.007452720850131283,17
2023-06-02T08:30:00Z,0.008764046663392316,0.0082127648804311,17
2023-06-02T09:00:00Z,0.011160223161876244,0.010863642383582837,17
2023-06-02T09:30:00Z,0.012135170106600666,0.013368400941838821,17
2023-06-02T10:00:00Z,0.012219173995340617,0.014141917257306968,17
2023-06-02T10:30:00Z,0.012244375161962605,0.01757778027161866,17
2023-06-02T11:00:00Z,0.012387181772820525,0.017572722168938276,17
2023-06-02T11:30:00Z,0.012655994216788377,0.02085212924527341,17
2023-06-02T12:00:00Z,0.012874404327512254,0.018492749086088858,17
2023-06-02T12:30:00Z,0.01308441404936214,0.01500078524840264,17
2023-06-02T13:00:00Z,0.013109615215984128,0.014494353572248679,17
2023-06-02T13:30:00Z,0.013212628773414784,0.014754534910136976,17
2023-06-02T14:00:00Z,0.013067613271614154,0.014943319319870092,17
2023-06-02T14:30:00Z,0.013210419882472069,0.011261455187173012,17
2023-06-02T15:00:00Z,0.01296930716465078,0.010492370413573631,17
2023-06-02T15:30:00Z,0.013277622993464033,0.010864625633749377,17
2023-06-02T16:00:00Z,0.012723197327780336,0.009670527432191866,17
2023-06-02T16:30:00Z,0.011926500269947909,0.008805279180735879,17
2023-06-02T17:00:00Z,0.00958018475686644,0.007194364371556385,17
2023-06-02T17:30:00Z,0.007068758152123688,0.006222069150397515,17
2023-06-02T18:00:00Z,0.005469787580245944,0.005086256094840648,17
2023-06-02T18:30:00Z,0.004479121030278217,0.004395645809606707,17
2023-06-02T19:00:00Z,0.0035393109364662426,0.0037146225397106645,17
2023-06-02T19:30:00Z,0.0029844311478707626,0.0032150741215933743,17
2023-06-02T20:00:00Z,0.0026335847357490034,0.002975656924791457,17
2023-06-02T20:30:00Z,0.0021328055171967496,0.002601060338150445,17
2023-06-02T21:00:00Z,0.0017741835813661403,0.002410701617444461,17
2023-06-02T21:30:00Z,0.0019382976272209079,0.0024003318704486133,17
2023-06-02T22:00:00Z,0.0020198347702706015,0.0025241270789545943,17
2023-06-02T22:30:00Z,0.0020893552299174594,0.0025740747065806165,17
2023-06-02T23:00:00Z,0.0020495575639856113,0.00256874289992061,17
2023-06-02T23:30:00Z,0.002084626981800172,0.002590800810527315,17
2023-06-03T00:00:00Z,0.001987074078747324,0.002499010616108861,17
2023-06-03T00:30:00Z,0.001819963448785888,0.0024501825055128993,17
2023-06-03T01:00:00Z,0.0017678231040507413,0.0023768169854425434,17
2023-06-03T01:30:00Z,0.0016476001845955467,0.002383447614602939,17
2023-06-03T02:00:00Z,0.0014726620139554668,0.0023121682797338215,17
2023-06-03T02:30:00Z,0.0012977939494992492,0.0021654803140409066,17
2023-06-03T03:00:00Z,0.001088019190662772,0.0021347256274756557,17
2023-06-03T03:30:00Z,0.0012160906931679477,0.0021264520430782207,17
2023-06-03T04:00:00Z,0.0025505131224960657,0.0026965497159673456,17
2023-06-03T04:30:00Z,0.004054320442234253,0.004007451329740088,17
2023-06-03T05:00:00Z,0.004483979676445162,0.004627290508558686,17
2023-06-03T05:30:00Z,0.005095417817437615,0.004817685754057337,17
2023-06-03T06:00:00Z,0.006568682019250244,0.005592810551621149,17
2023-06-03T06:30:00Z,0.008076804817003127,0.006451346042811925,17
2023-06-03T07:00:00Z,0.008372266770502278,0.0074378472681035125,17
2023-06-03T07:30:00Z,0.009415073665205151,0.008446768294113333,17
2023-06-03T08:00:00Z,0.010463492720675583,0.009542435254188361,17
2023-06-03T08:30:00Z,0.010648301275903483,0.010727921687605751,17
2023-06-03T09:00:00Z,0.011110322663973228,0.012283817486065588,17
2023-06-03T09:30:00Z,0.011500687454610902,0.013104864175517292,17
2023-06-03T10:00:00Z,0.01175715260727088,0.01298593453369315,17
2023-06-03T10:30:00Z,0.012126769717726665,0.013714679740968124,17
2023-06-03T11:00:00Z,0.012613014808960635,0.020115502262404508,17
2023-06-03T11:30:00Z,0.013325599520340934,0.021328311119814012,17
2023-06-03T12:00:00Z,0.014081634519000512,0.02132835837599236,17
2023-06-03T12:30:00Z,0.014622285068306465,0.020108370214944132,17
2023-06-03T13:00:00Z,0.014481819549429818,0.019558344756504534,17
2023-06-03T13:30:00Z,0.014481819549429824,0.018476426377245236,17
2023-06-03T14:00:00Z,0.014225676544419476,0.01803658217837278,17
2023-06-03T14:30:00Z,0.014035634960056958,0.013169728774962032,17
2023-06-03T15:00:00Z,0.013845593375694437,0.011914444814856645,17
2023-06-03T15:30:00Z,0.013572925015522135,0.011150436983123069,17
2023-06-03T16:00:00Z,0.013126415993732116,0.01021374092097745,17
2023-06-03T16:30:00Z,0.012639193439040386,0.009368906058523611,17
2023-06-03T17:00:00Z,0.012025965051238732,0.008481440106537666,17
2023-06-03T17:30:00Z,0.010153728548953023,0.007517271816356561,17
2023-06-03T18:00:00Z,0.008207155678840993,0.0062876063817143115,17
2023-06-03T18:30:00Z,0.006573424877139819,0.005166592635820901,17
2023-06-03T19:00:00Z,0.00513956539692337,0.004252937255171515,17
2023-06-03T19:30:00Z,0.004157588904411495,0.0037111466014177847,17
2023-06-03T20:00:00Z,0.0034710743653987674,0.003292690802617907,17
2023-06-03T20:30:00Z,0.0030365714926059014,0.0030558857645278047,17
2023-06-03T21:00:00Z,0.0028453902285770437,0.0029452444326428253,17
2023-06-03T21:30:00Z,0.002532548160166182,0.002829707526225069,17
2023-06-03T22:00:00Z,0.002376127125960748,0.002750179608065752,17
2023-06-03T22:30:00Z,0.0021936359193877463,0.0026001938282253583,17
2023-06-03T23:00:00Z,0.002150185632108456,0.002566566386794917,17
2023-06-03T23:30:00Z,0.002060238756036959,0.0024761515724710096,17
2023-06-04T00:00:00Z,0.001995203487335062,0.0025191265443811305,17
2023-06-04T00:30:00Z,0.0018025833338741707,0.0022995530783222525,17
2023-06-04T01:00:00Z,0.0017069927018597394,0.0023285451591281993,17
2023-06-04T01:30:00Z,0.001630961915010254,0.0023573696118753583,17
