dt,mean soil water content (m3/m3),sd,sample size
2018-09-13 01:00:00,0.12631094328127382,0.03042551261368508,19.0
2018-09-13 01:30:00,0.12627616593663235,0.030415044883926975,19.0
2018-09-13 02:00:00,0.1262413885919909,0.030404577154168867,19.0
2018-09-13 02:30:00,0.12658336380981203,0.03036170280179171,19.0
2018-09-13 03:00:00,0.12692533902763314,0.03031882844941455,19.0
2018-09-13 03:30:00,0.12726731424545426,0.030275954097037393,19.0
2018-09-13 04:00:00,0.12760928946327538,0.030233079744660236,19.0
2018-09-13 04:30:00,0.12795126468109647,0.03019020539228308,19.0
2018-09-13 05:00:00,0.12829323989891758,0.03014733103990592,19.0
2018-09-13 05:30:00,0.1286352151167387,0.03010445668752876,19.0
2018-09-13 06:00:00,0.12897719033455982,0.030061582335151604,19.0
2018-09-13 06:30:00,0.12931916555238093,0.030018707982774444,19.0
2018-09-13 07:00:00,0.12966114077020205,0.029975833630397287,19.0
2018-09-13 07:30:00,0.13000311598802317,0.02993295927802013,19.0
2018-09-13 08:00:00,0.13034509120584425,0.029890084925642973,19.0
2018-09-13 08:30:00,0.13068706642366537,0.029847210573265812,19.0
2018-09-13 09:00:00,0.1310290416414865,0.029804336220888655,19.0
2018-09-13 09:30:00,0.1313710168593076,0.0297614618685115,19.0
2018-09-13 10:00:00,0.13171299207712872,0.029718587516134338,19.0
2018-09-13 10:30:00,0.13205496729494984,0.02967571316375718,19.0
2018-09-13 11:00:00,0.13239694251277095,0.029632838811380024,19.0
2018-09-13 11:30:00,0.13273891773059207,0.029589964459002863,19.0
2018-09-13 12:00:00,0.1330808929484132,0.029547090106625706,19.0
2018-09-13 12:30:00,0.13342286816623428,0.02950421575424855,19.0
2018-09-13 13:00:00,0.1337648433840554,0.029461341401871392,19.0
2018-09-13 13:30:00,0.1341068186018765,0.029418467049494232,19.0
2018-09-13 14:00:00,0.13444879381969763,0.029375592697117075,19.0
2018-09-13 14:30:00,0.13473596144950659,0.029462310024195706,19.0
2018-09-13 15:00:00,0.13502312907931552,0.029549027351274335,19.0
2018-09-13 15:30:00,0.13531029670912448,0.029635744678352966,19.0
2018-09-13 16:00:00,0.13559746433893344,0.029722462005431594,19.0
2018-09-13 16:30:00,0.1358846319687424,0.029809179332510226,19.0
2018-09-13 17:00:00,0.13617179959855133,0.029895896659588854,19.0
2018-09-13 17:30:00,0.1364589672283603,0.029982613986667486,19.0
2018-09-13 18:00:00,0.13674613485816925,0.030069331313746114,19.0
2018-09-13 18:30:00,0.13703330248797818,0.030156048640824745,19.0
2018-09-13 19:00:00,0.13732047011778714,0.030242765967903373,19.0
2018-09-13 19:30:00,0.1376076377475961,0.030329483294982005,19.0
2018-09-13 20:00:00,0.13789480537740506,0.030416200622060637,19.0
2018-09-13 20:30:00,0.138181973007214,0.030502917949139265,19.0
2018-09-13 21:00:00,0.13846914063702295,0.030589635276217896,19.0
2018-09-13 21:30:00,0.1387563082668319,0.030676352603296524,19.0
